run,relative_s,error_m
max/run01,64.08370118141151,0.5987255899422487
max/run01,64.18370118141151,0.5900566490740917
max/run01,64.28370118141152,0.5706581402349545
max/run01,64.38370118141151,0.583465450418953
max/run01,64.48370118141152,0.5750770181696465
max/run01,64.58370118141151,0.5845605766483045
max/run01,64.68370118141151,0.5869753489748353
max/run01,64.78370118141152,0.5904643645602141
max/run01,64.88370118141151,0.6001590289160927
max/run01,64.9837011814115,0.6077570203188447
max/run01,65.08370118141151,0.6156058522134548
max/run01,65.18370118141151,0.6156006946151792
max/run01,65.58370118141151,0.6142925481283112
max/run01,65.68370118141151,0.6085116339831057
max/run01,65.7837011814115,0.6202935430014561
max/run01,66.08370118141151,0.6265133757915502
max/run01,66.18370118141151,0.6223026005975593
max/run01,66.2837011814115,0.6028530101773046
max/run01,66.38370118141151,0.6207721436836617
max/run01,66.4837011814115,0.6117398873247968
max/run01,66.5837011814115,0.6216122893929515
max/run01,66.68370118141151,0.6161910421389464
max/run01,66.7837011814115,0.5996443351775466
max/run01,66.8837011814115,0.6038550579616742
max/run01,66.9837011814115,0.598378004418208
max/run01,67.0837011814115,0.5902742817088762
max/run01,67.18370118141151,0.5934163179359239
max/run01,67.2837011814115,0.5836370093070924
